ABASA	-4.947750	107.261028	14	W14	B	DKI	-5.961194	107.035522	06000	N	ALTAR	-3.721772	107.533369	06000	Y
ABASS	-34.583386	150.943431	14	H536	B	OMLAV	-34.350333	151.132778	01500	N	NWA	-34.951111	150.529722	03500	Y
ABASU	68.578889	18.016667	14	P80	H	AMIMO	67.875000	16.441389	28500	Y	PIPUL	71.333333	26.863561	28500	Y
ABASU	68.578889	18.016667	14	T399	B					N	MOKAX	69.074722	19.924722	11500	Y
ABATA	70.000556	135.668889	14	G226	L					N	GOMAG	69.584722	135.241389	12500	Y
ABATA	70.000556	135.668889	14	M177	H	BALOM	71.417500	136.135556	26500	Y	RUNON	69.440556	135.096944	26500	Y
ABATA	70.000556	135.668889	14	M988	H	PANAR	69.269167	129.018333	26500	Y	AGDUM	70.331389	138.000000	26500	Y
ABATA	70.000556	135.668889	14	T189	H	PADUS	69.334167	132.668611	26500	Y	BEPIN	70.502778	138.000000	26500	Y
ABATA	70.000556	135.668889	14	T478	H					N	TIMNU	70.696667	138.000000	26500	Y
ABATA	70.000556	135.668889	14	T640	H	NIDEN	70.183889	138.002222	26500	Y	OLEMU	68.517500	112.467222	26500	Y
ABATA	70.000556	135.668889	14	W193	B	ORTEK	69.671944	134.793056	12500	Y	BARUB	70.103056	136.928056	12500	Y
ABATA	70.000556	135.668889	14	W198	B	ADUGO	69.565000	135.464722	12500	Y					N
ABATA	70.000556	135.668889	14	W199	B					N	UNSES	69.843333	136.853611	12500	Y
ABATA	70.000556	135.668889	14	W199	L	KUTSO	70.295000	134.623333	12500	Y					N
ABATE	-14.391111	-58.837222	14	A430	L	UGINA	-14.609667	-58.373667	17500	Y	PAGUS	-13.704000	-60.276833	17500	Y
ABATE	-14.391111	-58.837222	14	UM402	H	NIBMI	-15.440278	-58.713056	24500	Y	ESDOP	-14.152500	-58.865278	24500	Y
ABATE	-14.391111	-58.837222	14	UM775	H	UGINA	-14.609667	-58.373667	24500	Y	ASIKI	-14.296283	-59.037556	24500	Y
ABATE	-14.391111	-58.837222	14	UZ52	H	OREGI	-14.243694	-58.974419	24500	N	ISMAA	-14.873611	-58.376164	24500	Y
ABATI	34.829444	10.959444	14	G361	L	SFX	34.716139	10.688917	07500	Y	RELBA	34.891667	11.108611	07500	Y
ABATO	30.537222	-8.553056	14	G664	L	KEGAG	30.441225	-8.921683	12500	Y	TOPMA	30.580833	-8.381667	15500	Y
ABATO	30.537222	-8.553056	14	UG664	H	KEGAG	30.441225	-8.921683	19500	Y	TOPMA	30.580833	-8.381667	19500	Y
ABAVA	56.676389	26.543333	14	L199	B	IGORO	56.360000	28.200000	09500	Y	BARVA	56.853889	25.546667	09500	N
ABAVA	56.676389	26.543333	14	P171	B	ALMIK	56.483333	26.642222	09500	Y	BETAL	56.819167	26.469444	09500	Y
ABAVO	4.440000	18.780000	14	UT139	H	GOPUR	4.806667	20.258333	29000	Y	MPK	4.378250	18.524833	29000	Y
ABAXI	66.785000	15.875833	14	T65	B	TIPEL	67.261944	16.330000	19500	Y	LIDNA	66.331111	15.460833	19500	N
